damage_pct,strategy,disruption_iter,restore_iter,edges_restored,edges_remaining,restore_pct,disruption_pct,efficiency,accessibility,morans_i,clustering
10,betweenness,0,0,0,165,5,10,0.8954367279128674,0.6940727088429135,0.8844938763314378,0.9394347240915211
10,betweenness,0,1,8,157,5,10,0.8262896094409224,0.7603473276292346,0.9015502358748907,0.9394347240915211
10,betweenness,0,2,16,149,5,10,0.6751409361222377,0.7840878043071137,0.9006936025483108,0.9394347240915211
10,betweenness,0,3,24,141,5,10,0.7866852759900481,0.8280772463395034,0.9099061033512262,0.9125168236877526
10,betweenness,0,4,32,133,5,10,0.7717982948534733,0.8508521631805495,0.9213669181959997,0.9125168236877526
10,betweenness,0,5,40,125,5,10,0.7855192309680168,0.8708880201167798,0.9292149911833019,0.9528936742934053
10,betweenness,0,6,48,117,5,10,0.8220952923121029,0.8845378684896399,0.9254561655626565,0.9528936742934053
10,betweenness,0,7,56,109,5,10,0.8571233271148403,0.8961797279507959,0.9276269452588675,0.9528936742934053
10,betweenness,0,8,64,101,5,10,0.9017051614754646,0.9070467308847014,0.9290760726098117,0.9528936742934053
10,betweenness,0,9,72,93,5,10,0.9143820390328964,0.9192651041833495,0.9310319682865879,0.9528936742934053
10,betweenness,0,10,80,85,5,10,0.9119395510481851,0.9249549144605888,0.9308113053152105,0.993270524899058
10,betweenness,0,11,88,77,5,10,0.9365261922853957,0.9388915363923124,0.9420767573061101,0.993270524899058
10,betweenness,0,12,96,69,5,10,0.9326494780015343,0.950524605717319,0.9548620187552274,1.0
10,betweenness,0,13,104,61,5,10,0.9319612217780139,0.9546941374463929,0.9561034039365492,1.0
10,betweenness,0,14,112,53,5,10,0.9392847565067782,0.9620003170287228,0.9574074838442617,1.0
10,betweenness,0,15,120,45,5,10,0.9510564893355208,0.9682299208458176,0.9649847061326281,1.0
10,betweenness,0,16,128,37,5,10,0.960904775814766,0.9764713305427669,0.9678606246725842,1.0
10,betweenness,0,17,136,29,5,10,0.9712626759296629,0.9852379710948055,0.9910724372815525,1.0
10,betweenness,0,18,144,21,5,10,0.9825721606542182,0.9923961025889327,0.9979981965984926,1.0
10,betweenness,0,19,152,13,5,10,0.9961905765569514,0.9965593281724202,1.0,1.0
10,betweenness,0,20,160,5,5,10,1.0,1.0,1.0,1.0
10,betweenness,0,21,165,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,0,0,165,5,10,0.8908666986862486,0.6927105142773187,0.8344121153981408,1.0672947510094213
10,betweenness,1,1,8,157,5,10,0.7515231376800188,0.7503288952031012,0.8241389418497312,1.0
10,betweenness,1,2,16,149,5,10,0.7273650788201363,0.7900303599638561,0.8355504746678779,1.0
10,betweenness,1,3,24,141,5,10,0.7357595040583681,0.8096286391725195,0.838555244345455,1.0
10,betweenness,1,4,32,133,5,10,0.7579393864702435,0.8311820322594983,0.8424281902327961,1.0
10,betweenness,1,5,40,125,5,10,0.7882818014894774,0.8461954044395692,0.8443095652795033,1.0
10,betweenness,1,6,48,117,5,10,0.8251266147082855,0.8666015206238025,0.8561813388724875,1.0
10,betweenness,1,7,56,109,5,10,0.8503298330687378,0.884112973001884,0.8527219608817844,1.0
10,betweenness,1,8,64,101,5,10,0.842325592144441,0.9071428826553996,0.9528875298479899,1.0
10,betweenness,1,9,72,93,5,10,0.8625082681315244,0.9138937867390224,0.9530946961396,1.0
10,betweenness,1,10,80,85,5,10,0.8767899788345379,0.9264262269349617,0.9565253798383316,1.0
10,betweenness,1,11,88,77,5,10,0.9087621797746989,0.942677792987956,0.9631711719585283,1.0
10,betweenness,1,12,96,69,5,10,0.918559912010626,0.9504284253664875,0.9608345942970556,1.0
10,betweenness,1,13,104,61,5,10,0.9288179089856354,0.9574468661727147,0.9621567021604087,1.0
10,betweenness,1,14,112,53,5,10,0.940154311646006,0.9663609853514369,0.9731828598862904,1.0
10,betweenness,1,15,120,45,5,10,0.9520438692068486,0.9723342217218796,0.9807530045034909,1.0
10,betweenness,1,16,128,37,5,10,0.963068102118885,0.9810024763399863,0.9871264109770149,1.0
10,betweenness,1,17,136,29,5,10,0.9745647943681264,0.9883546173778905,0.9868591940467717,1.0
10,betweenness,1,18,144,21,5,10,0.9886219845107634,0.9922633163993444,0.9893461637084169,1.0
10,betweenness,1,19,152,13,5,10,1.0,0.9990814215202557,1.0,1.0
10,betweenness,1,20,160,5,5,10,1.0,1.0,1.0,1.0
10,betweenness,1,21,165,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,2,0,0,165,5,10,0.6607371179368311,0.7280986021031688,0.9385038364309796,1.016150740242261
10,betweenness,2,1,8,157,5,10,0.6738363820466845,0.7784802868946323,0.9407883861776059,1.0
10,betweenness,2,2,16,149,5,10,0.6923862710052243,0.7894629959715752,0.9362404143451367,1.0
10,betweenness,2,3,24,141,5,10,0.6690477497625527,0.804641852277594,0.9353283556086435,0.9892328398384928
10,betweenness,2,4,32,133,5,10,0.7705559594829957,0.8389450765907212,0.9396298926588144,0.9892328398384928
10,betweenness,2,5,40,125,5,10,0.7813399753635165,0.8763171246311044,0.9543124602054408,0.9892328398384928
10,betweenness,2,6,48,117,5,10,0.8097154398926245,0.8853621210726312,0.9521483418071639,0.9892328398384928
10,betweenness,2,7,56,109,5,10,0.8387054902914282,0.8990735932718444,0.9586098940281159,0.9892328398384928
10,betweenness,2,8,64,101,5,10,0.8566455846945774,0.9103721208148674,0.9635550873825879,0.9892328398384928
10,betweenness,2,9,72,93,5,10,0.87390096038053,0.9307677823330563,0.9754713851911089,0.9825033647375506
10,betweenness,2,10,80,85,5,10,0.9105157480945842,0.9406341470279048,0.9762441019074753,0.9825033647375506
10,betweenness,2,11,88,77,5,10,0.9324033186832406,0.952438749889477,0.9810576411700512,0.9825033647375506
10,betweenness,2,12,96,69,5,10,0.9354196597054282,0.9555329002426488,0.9816424147212266,0.9825033647375506
10,betweenness,2,13,104,61,5,10,0.9350101024141002,0.9599190183800376,0.9830349763759114,0.9825033647375506
10,betweenness,2,14,112,53,5,10,0.9427810684825865,0.9662730118881869,0.9840977544694485,0.9825033647375506
10,betweenness,2,15,120,45,5,10,0.954452584645798,0.9720253112651108,0.9848484702498257,0.9825033647375506
10,betweenness,2,16,128,37,5,10,0.9651785976587482,0.9820326532921486,0.9889839104792614,0.9825033647375506
10,betweenness,2,17,136,29,5,10,0.9783412356065875,0.9885213308322315,0.9896092767796053,0.9825033647375506
10,betweenness,2,18,144,21,5,10,0.9919228992385415,0.9953319333122393,0.9989286226110746,0.9825033647375506
10,betweenness,2,19,152,13,5,10,1.0,0.9985063775340055,0.9997055340743335,0.9825033647375506
10,betweenness,2,20,160,5,5,10,1.0,0.9998944114613691,0.9999947454342556,1.0
10,betweenness,2,21,165,0,5,10,1.0,0.9998944114613691,0.9999947454342556,1.0
10,betweenness,3,0,0,165,5,10,0.5753427596721049,0.6876890174035252,0.7880704525821767,0.995962314939435
10,betweenness,3,1,8,157,5,10,0.5502732716628327,0.7256393392219544,0.7871062276712718,0.995962314939435
10,betweenness,3,2,16,149,5,10,0.6227412859098709,0.7895117856179896,0.8965657227474142,0.9690444145356663
10,betweenness,3,3,24,141,5,10,0.7359374021386941,0.822950806489149,0.9113739760975891,0.9421265141318979
10,betweenness,3,4,32,133,5,10,0.7092209227443353,0.8464415061470135,0.9289135191650094,0.9152086137281292
10,betweenness,3,5,40,125,5,10,0.7558217052066533,0.8701729802957456,0.9317972234832651,0.9152086137281292
10,betweenness,3,6,48,117,5,10,0.8402525223320217,0.900819663202274,0.9322965756906249,0.9152086137281292
10,betweenness,3,7,56,109,5,10,0.8638062863401962,0.9111046034363894,0.9407362635774147,0.9152086137281292
10,betweenness,3,8,64,101,5,10,0.8815373996271009,0.923183735942571,0.9405357712075586,0.9152086137281292
10,betweenness,3,9,72,93,5,10,0.9011330017072884,0.9364842601658667,0.9512994135434969,0.8613728129205923
10,betweenness,3,10,80,85,5,10,0.8948613284219752,0.9409730095894185,0.9517301861439408,0.9017496635262451
10,betweenness,3,11,88,77,5,10,0.9269962536044515,0.9522529363504441,0.9522816801425675,0.9017496635262451
10,betweenness,3,12,96,69,5,10,0.9367132665835439,0.9552990427402386,0.9521952196931341,0.9017496635262451
10,betweenness,3,13,104,61,5,10,0.9370615429835412,0.9588049148781815,0.9527376891197469,0.9017496635262451
10,betweenness,3,14,112,53,5,10,0.9481737652844724,0.9629202930497109,0.9535655602184073,0.9017496635262451
10,betweenness,3,15,120,45,5,10,0.9594791446016487,0.9704792884538581,0.9610406958499049,0.9017496635262451
10,betweenness,3,16,128,37,5,10,0.9699796842364701,0.9803106579581683,0.9881811221004343,0.9017496635262451
10,betweenness,3,17,136,29,5,10,0.9818140411720004,0.98674925463026,0.9898749606488628,0.9017496635262451
10,betweenness,3,18,144,21,5,10,0.9925702628053765,0.9909126355047607,0.9895686644689289,0.9017496635262451
10,betweenness,3,19,152,13,5,10,1.0,0.996707833516081,0.9984354737052583,0.9017496635262451
10,betweenness,3,20,160,5,5,10,1.0,0.9998992010934643,1.0,0.9596231493943475
10,betweenness,3,21,165,0,5,10,1.0,1.0,1.0,1.0
10,betweenness,4,0,0,165,5,10,0.5699840428350764,0.7209269626482583,0.9491903044693973,0.9219380888290715
10,betweenness,4,1,8,157,5,10,0.6452966168792261,0.7781636436535222,0.95439813515953,0.9219380888290715
10,betweenness,4,2,16,149,5,10,0.6671300555367105,0.7932338926426525,0.9508704139220727,0.8950201884253031
10,betweenness,4,3,24,141,5,10,0.8696200107154057,0.8234703759118968,0.943152629920673,0.8882907133243607
10,betweenness,4,4,32,133,5,10,0.8806487629298686,0.8383559731443753,0.9429434532963316,0.885598923283984
10,betweenness,4,5,40,125,5,10,0.8184617338713516,0.8606009063240208,0.9496331369945735,0.885598923283984
10,betweenness,4,6,48,117,5,10,0.8294350415222317,0.8788235866451861,0.9514859111537193,0.9192462987886946
10,betweenness,4,7,56,109,5,10,0.8680938215869941,0.894545255520208,0.9521157154980658,0.9192462987886946
10,betweenness,4,8,64,101,5,10,0.8793226765255551,0.9054464369129847,0.9519860838762704,0.9192462987886946
10,betweenness,4,9,72,93,5,10,0.8952728297611852,0.9144365052534736,0.9530597612906272,0.9192462987886946
10,betweenness,4,10,80,85,5,10,0.904837879406452,0.9288829757005581,0.9544614196368825,0.9596231493943475
10,betweenness,4,11,88,77,5,10,0.9385598711428147,0.941651099298773,0.9565794275829154,0.9596231493943475
10,betweenness,4,12,96,69,5,10,0.9379104339326212,0.9445007572678579,0.9558834788467637,0.9596231493943475
10,betweenness,4,13,104,61,5,10,0.9416021943923134,0.9462783249295607,0.9546838324198248,0.9596231493943475
10,betweenness,4,14,112,53,5,10,0.9507659127198697,0.9489528698098847,0.955023888315301,0.9596231493943475
